I have Influenza, Take Oseltamivir
I have Diabetes, Take Insulin
I have Hypertension, Take Lisinopril
I have Asthma, Take Albuterol
I have Arthritis, Take Ibuprofen
I have Pneumonia, Take Azithromycin
I have Bronchitis, Take Amoxicillin
I have Malaria, Take Chloroquine
I have Tuberculosis, Take Rifampin
I have Depression, Take Sertraline
I have Anxiety, Take Lorazepam
I have Schizophrenia, Take Risperidone
I have Alzheimer's Disease, Take Donepezil
I have Parkinson's Disease, Take Levodopa
I have Cancer, Take Chemotherapy
I have HIV/AIDS, Take Antiretrovirals
I have Hepatitis C, Take Sofosbuvir
I have Common Cold, Take Acetaminophen
I have Allergies, Take Loratadine
I have Gastritis, Take Omeprazole
I have Migraine, Take Sumatriptan
I have Osteoporosis, Take Alendronate
I have Eczema, Take Hydrocortisone
I have Psoriasis, Take Methotrexate
I have Gout, Take Colchicine
I have Crohn's Disease, Take Mesalamine
I have Ulcerative Colitis, Take Sulfasalazine
I have Glaucoma, Take Timolol
I have Cataracts, Take Prednisolone
I have Conjunctivitis, Take Erythromycin
I have Strep Throat, Take Penicillin
I have Urinary Tract Infection, Take Ciprofloxacin
I have Kidney Stones, Take Tamsulosin
I have Gallstones, Take Ursodiol
I have Pneumothorax, Take Chest Tube
I have Appendicitis, Take Appendectomy
I have Diverticulitis, Take Ciprofloxacin
I have Endometriosis, Take Birth Control Pills
I have Fibromyalgia, Take Pregabalin
I have Chronic Fatigue Syndrome, Take Modafinil
I have Insomnia, Take Zolpidem
I have Sleep Apnea, Take CPAP Machine
I have Narcolepsy, Take Methylphenidate
I have Acne, Take Benzoyl Peroxide
I have Rosacea, Take Metronidazole
I have E. coli Infection, Take Ceftriaxone
I have Salmonella Infection, Take Ciprofloxacin
I have Cholera, Take Oral Rehydration Solution
I have Dengue Fever, Take Paracetamol
I have Zika Virus, Take Supportive Care
I have Rabies, Take Rabies Vaccine
I have Measles, Take Measles Vaccine
I have Polio, Take Polio Vaccine
I have Tetanus, Take Tetanus Vaccine
I have Pertussis, Take Azithromycin
I have Rubella, Take Rubella Vaccine
I have Chickenpox, Take Acyclovir
I have HPV, Take HPV Vaccine
I have Herpes, Take Acyclovir
I have Chlamydia, Take Azithromycin
I have Gonorrhea, Take Ceftriaxone
I have Syphilis, Take Penicillin
I have Trichomoniasis, Take Metronidazole
I have Candidiasis, Take Fluconazole
I have Giardiasis, Take Metronidazole
I have Cystitis, Take Nitrofurantoin
I have Gastroenteritis, Take Loperamide
I have Hepatitis B, Take Hepatitis B Vaccine
I have Typhoid Fever, Take Ciprofloxacin
I have Leptospirosis, Take Doxycycline
I have Lyme Disease, Take Doxycycline
I have Dengue Fever, Take Supportive Care
I have Yellow Fever, Take Yellow Fever Vaccine
I have Chikungunya, Take Supportive Care
I have Ebola, Take Supportive Care
I have Marburg Virus Disease, Take Supportive Care
I have Hantavirus Pulmonary Syndrome, Take Supportive Care
I have Lassa Fever, Take Ribavirin
I have Rift Valley Fever, Take Supportive Care
I have West Nile Fever, Take Supportive Care
I have SARS, Take Supportive Care
I have H1N1 Influenza, Take Oseltamivir
I have Middle East Respiratory Syndrome (MERS), Take Supportive Care
I have COVID-19, Take Remdesivir
I have Dengue Hemorrhagic Fever, Take Supportive Care
I have Cholera, Take Supportive Care
I have Tuberculosis, Take Isoniazid
I have Chagas Disease, Take Benznidazole
I have Sleeping Sickness (African Trypanosomiasis), Take Suramin
I have Chikungunya, Take Supportive Care
I have Anthrax, Take Ciprofloxacin
I have Smallpox, Take Smallpox Vaccine
I have Bubonic Plague, Take Streptomycin
I have SARS, Take Supportive Care
I have Rocky Mountain Spotted Fever, Take Doxycycline
I have Q Fever, Take Doxycycline
I have Tularemia, Take Streptomycin
I have Brucellosis, Take Doxycycline
I have Leprosy, Take Dapsone
I have Rift Valley Fever, Take Ribavirin
I have Headache, Take Aspirin
I have Heartburn, Take Ranitidine
I have Constipation, Take Psyllium Husk
I have Diarrhea, Take Loperamide
I have Acid Reflux, Take Omeprazole
I have Motion Sickness, Take Dimenhydrinate
I have Muscle Pain, Take Acetaminophen
I have Sunburn, Take Aloe Vera Gel
I have Cough, Take Dextromethorphan
I have Sore Throat, Take Chloraseptic Spray
I have Ear Infection, Take Amoxicillin
I have Sinusitis, Take Pseudoephedrine
I have Toothache, Take Acetaminophen with Codeine
I have Nausea, Take Ondansetron
I have Vomiting, Take Promethazine
I have Hay Fever, Take Loratadine
I have Food Poisoning, Take Hydration Therapy
I have Hangover, Take Water and Rest
I have Heat Stroke, Take Hydration and Cooling Measures
I have Frostbite, Take Rewarming and Pain Relief
I have Hypothermia, Take Gradual Rewarming
I have Altitude Sickness, Take Acetazolamide
I have Anemia, Take Iron Supplements
I have Dehydration, Take Oral Rehydration Solution
I have Vertigo, Take Meclizine
I have Dizziness, Take Antihistamines
I have Insulin Shock, Take Glucose Tablets
I have Hypoglycemia, Take Glucose Gel
I have Hyperglycemia, Take Insulin
I have Heat Exhaustion, Take Hydration and Rest
I have Heat Cramps, Take Hydration and Electrolytes
I have Heat Rash, Take Cool Compresses
I have Frostnip, Take Rewarming
I have Diabetic Ketoacidosis, Take Insulin and Fluids
I have High Cholesterol, Take Statins
I have Blood Clots, Take Heparin
I have Acidosis, Take Sodium Bicarbonate
I have Alkalosis, Take Chloride Supplements
I have Urinary Incontinence, Take Oxybutynin
I have Erectile Dysfunction, Take Sildenafil
I have Menstrual Cramps, Take Ibuprofen
I have Premenstrual Syndrome (PMS), Take NSAIDs
